"NOME_STRUT","DS_ATS","DS_ASST","COMUNE","PROV","LAT","LONG_","ID_struttura","original","ID_erogatore","check","n","ID_group"
"OSPEDALE SAN GIUSEPPE-POLIAMBULATORIO-1-AMBULATORIO PRINCIPALE-1 (OSPEDALE S.GIUSEPPE)","ATS DELLA CITTA' METROPOLITANA DI MILANO","ASST FATEBENEFRATELLI SACCO","MILANO","MI",45.4630007,9.1718003,3106,"OSPEDALE S.GIUSEPPE",20,TRUE,1,1
"OSPEDALE SAN LEOPOLDO MANDIC  MERATE-POLIAMBULATORIO-1-AMBULATORIO PRINCIPALE-1 (POLIAMBULATORIO OSP.DI MERATE)","ATS DELLA BRIANZA","ASST DI LECCO","MERATE","LC",45.6968439,9.42706712,3284,"POLIAMBULATORIO OSP.DI MERATE",21,TRUE,1,1
"PRESIDIO DI VARESE (OSP DI CUASSO AL MONTE)-POLIAMBULATORIO-1-AMBULATORIO PRINCIPALE-1 (POLIAMBULATORIO OSP.CUASSO A/M)","ATS DELL'INSUBRIA","ASST DEI SETTE LAGHI","CUASSO AL MONTE","VA",45.90835,8.85795,2909,"POLIAMBULATORIO OSP.CUASSO A/M",22,TRUE,1,1
"STABILIMENTO OSPEDALIERO DI LEGNANO-POLIAMBULATORIO-1-AMBULATORIO PRINCIPALE-1 (OSPED. S.S.BENEDETTO GELTRUDE)","ATS DELLA CITTA' METROPOLITANA DI MILANO","ASST OVEST MILANESE","CUGGIONO","MI",45.5097615,8.821516,2526,"OSPED. S.S.BENEDETTO GELTRUDE",26,TRUE,1,1
"PRESIDIO OSPEDALIERO ""PESENTI-FENAROLI"" - ALZANO LOMBARDO-POLIAMBULATORIO-1-AMBULATORIO PRINCIPALE-1 (POLIAMB. OSP.PESENTI-FENAROLI)","ATS DI BERGAMO","ASST DI BERGAMO EST","ALZANO LOMBARDO","BG",45.7309492,9.7259053,3658,"POLIAMB. OSP.PESENTI-FENAROLI",27,TRUE,1,1
"OSPEDALE E. BASSINI-POLIAMBULATORIO-1-AMBULATORIO PRINCIPALE-1 (POLIAMBULATORIO OSPEDALE BASSINI)","ATS DELLA CITTA' METROPOLITANA DI MILANO","ASST NORD MILANO","CINISELLO BALSAMO","MI",45.54635,9.21584,2684,"POLIAMBULATORIO OSPEDALE BASSINI",28,TRUE,1,1
"NUOVO OSPEDALE DI VIMERCATE-POLIAMBULATORIO-1-AMBULATORIO PRINCIPALE-1 (POLIAMBULATORIO OSP.VIMERCATE)","ATS DELLA BRIANZA","ASST DELLA BRIANZA","VIMERCATE","MB",45.60843468,9.35674286,3499,"POLIAMBULATORIO OSP.VIMERCATE",29,TRUE,1,1
"OSPEDALE DI MANERBIO (UNICO PO CON STAB LENO)-POLIAMBULATORIO-1-AMBULATORIO PRINCIPALE-1 (AMBULATORIO OSP. DI MANERBIO)","ATS DI BRESCIA","ASST DEL GARDA","MANERBIO","BS",45.3568828,10.1433666,2766,"AMBULATORIO OSP. DI MANERBIO",30,TRUE,1,1
"OSPEDALE - GALLARATE-POLIAMBULATORIO-1-AMBULATORIO PRINCIPALE-1 (OSPEDALIERO S. ANTONIO ABATE)","ATS DELL'INSUBRIA","ASST DELLA VALLE OLONA","GALLARATE","VA",45.65715,8.79298,3048,"OSPEDALIERO S. ANTONIO ABATE",31,TRUE,1,1
"STABILIMENTO OSPEDALIERO DI LEGNANO-POLIAMBULATORIO-2-AMBULATORIO PRINCIPALE-1 (OSPEDALE CIVILE)","ATS DELLA CITTA' METROPOLITANA DI MILANO","ASST OVEST MILANESE","LEGNANO","MI",45.58173,8.88889,2590,"OSPEDALE CIVILE",32,TRUE,1,1
"OSPEDALE S. MARTINO - MEDE-POLIAMBULATORIO-1-AMBULATORIO PRINCIPALE-1 (POLIAMB. OSP. MEDE)","ATS DI PAVIA","ASST DI PAVIA","MEDE","PV",45.0915615,8.7307885,3447,"POLIAMB. OSP. MEDE",33,TRUE,1,1
"OSPEDALE TREVIGLIO CARAVAGGIO-POLIAMBULATORIO-1-AMBULATORIO PRINCIPALE-1 (POLIAMBULATORIO OSP.TREVIGLIO)","ATS DI BERGAMO","ASST DI BERGAMO OVEST","TREVIGLIO","BG",45.5101522,9.61005346,3145,"POLIAMBULATORIO OSP.TREVIGLIO",34,TRUE,1,1
"PRESIDIO ALESSANDRO MANZONI DI LECCO-POLIAMBULATORIO-1-AMBULATORIO PRINCIPALE-1 (POLIAMBULATORIO OSP.DI LECCO)","ATS DELLA BRIANZA","ASST DI LECCO","LECCO","LC",45.85216,9.41399,3341,"POLIAMBULATORIO OSP.DI LECCO",35,TRUE,1,1
"PRESIDIO OSPEDALE S. MARTA-POLIAMBULATORIO-1-AMBULATORIO PRINCIPALE-1 (POLIAMBULATORIO DI RIVOLTA D/A)","ATS DELLA VAL PADANA","ASST DI CREMA","RIVOLTA D'ADDA","CR",45.4683641,9.5132409,3225,"POLIAMBULATORIO DI RIVOLTA D/A",36,TRUE,1,1
