"NOME_STRUT","DS_ATS","DS_ASST","COMUNE","PROV","LAT","LONG_","ID_struttura","original","ID_erogatore","check","n","ID_group"
"CASA DI CURA ""DOMUS SALUTIS""-POLIAMBULATORIO-1-AMBULATORIO PRINCIPALE-1 (CASA DI CURA DOMUS SALUTIS)","ATS DI BRESCIA","ASST DEGLI SPEDALI CIVILI DI BRESCIA","BRESCIA","BS",45.55473,10.23584,3268,"CASA DI CURA DOMUS SALUTIS",7,TRUE,12,1
"POLICLINICO SAN PIETRO-POLIAMBULATORIO-1-AMBULATORIO PRINCIPALE-1 (POLICLINICO SAN PIETRO)","ATS DI BERGAMO","ASST DI BERGAMO OVEST","PONTE SAN PIETRO","BG",45.6979017,9.5748158,3188,"POLICLINICO SAN PIETRO",24,TRUE,2,1
"PIO ALBERGO TRIVULZIO","ATS DELLA CITTA' METROPOLITANA DI MILANO","ASST SANTI PAOLO E CARLO","MILANO","MI",45.4654616,9.1450359,629,"PIO ALBERGO TRIVULZIO",25,TRUE,5,1
"ISTITUTO CLINICO S ANNA (PRESIDIO UNICO CON STAB ICCBS E IC S ROCCO)-POLIAMBULATORIO-1-AMBULATORIO PRINCIPALE-1 (ISTITUTO CLINICO S.ANNA)","ATS DI BRESCIA","ASST DEGLI SPEDALI CIVILI DI BRESCIA","BRESCIA","BS",45.55347,10.18023,3330,"ISTITUTO CLINICO S.ANNA",37,TRUE,2,1
"ISTITUTO NAZIONALE TUMORI-POLIAMBULATORIO-1-AMBULATORIO PRINCIPALE-1 (ISTITUTO NAZIONALE TUMORI)","ATS DELLA CITTA' METROPOLITANA DI MILANO","ASST FATEBENEFRATELLI SACCO","MILANO","MI",45.4743871,9.23138,2843,"ISTITUTO NAZIONALE TUMORI",45,TRUE,2,1
"POLICLINICO SAN MARCO-POLIAMBULATORIO-1-AMBULATORIO PRINCIPALE-1 (POLICLINICO SAN MARCO)","ATS DI BERGAMO","ASST DI BERGAMO OVEST","OSIO SOTTO","BG",45.6057545,9.585012,3189,"POLICLINICO SAN MARCO",60,TRUE,2,1
"PRESIDIO PNEUMOTISIOLOGICO","ATS DI PAVIA","ASST DI PAVIA","PAVIA","PV",45.1887,9.16265,188,"PRESIDIO PNEUMOTISIOLOGICO",68,TRUE,2,1
"ANCELLE DELLA CARITÀ-POLIAMBULATORIO-1-AMBULATORIO PRINCIPALE-1 (CASA DI CURA ANCELLE DELLA CAR)","ATS DELLA VAL PADANA","ASST DI CREMONA","CREMONA","CR",45.13645,10.02542,3404,"CASA DI CURA ANCELLE DELLA CAR",70,TRUE,2,1
"UONPI - FOND. IRCCS IST. NAZ. NEUROLOGICO C. BESTA","ATS DELLA CITTA' METROPOLITANA DI MILANO","ASST FATEBENEFRATELLI SACCO","MILANO","MI",45.4770767,9.2306997,190,"FOND. IRCCS IST. NAZ. NEUROLOGICO C. BESTA",71,TRUE,2,1
"C.O.F. LANZO HOSPITAL S.P.A.","ATS DELL'INSUBRIA","ASST LARIANA","ALTA VALLE INTELVI","CO",45.99192,9.03292,3098,"C.O.F. LANZO HOSPITAL S.P.A.",74,TRUE,2,1
"HUMANITAS GAVAZZENI-POLIAMBULATORIO-1-AMBULATORIO PRINCIPALE-1 (HUMANITAS GAVAZZENI)","ATS DI BERGAMO","ASST PAPA GIOVANNI XXIII","BERGAMO","BG",45.68886,9.6787,3254,"HUMANITAS GAVAZZENI",76,TRUE,2,1
"CASA DI CURA POLIAMBULANZA-POLIAMBULATORIO-1-AMBULATORIO PRINCIPALE-1 (CASA DI CURA POLIAMBULANZA)","ATS DI BRESCIA","ASST DEGLI SPEDALI CIVILI DI BRESCIA","BRESCIA","BS",45.5194507,10.2361501,3329,"CASA DI CURA POLIAMBULANZA",84,TRUE,2,1
"ISTITUTO EUROPEO DI ONCOLOGIA","ATS DELLA CITTA' METROPOLITANA DI MILANO","ASST SANTI PAOLO E CARLO","MILANO","MI",45.4144147,9.2067202,2585,"ISTITUTO EUROPEO DI ONCOLOGIA",105,TRUE,2,1
"CASA DI CURA AMBROSIANA S.P.A.-POLIAMBULATORIO-1-AMBULATORIO PRINCIPALE-1 (CASA DI CURA AMBROSIANA S.P.A)","ATS DELLA CITTA' METROPOLITANA DI MILANO","ASST RHODENSE","CESANO BOSCONE","MI",45.4492226,9.09338791,2960,"CASA DI CURA AMBROSIANA S.P.A",113,TRUE,2,1
"POLO SANITARIO NUOVO ROBBIANI","ATS DELLA VAL PADANA","ASST DI CREMONA","SORESINA","CR",45.2817,9.87092,2885,"POLO SANITARIO NUOVO ROBBIANI",153,TRUE,2,1
"POLIAMBULATORIO CASA DI CURA IGEA","ATS DELLA CITTA' METROPOLITANA DI MILANO","ASST SANTI PAOLO E CARLO","MILANO","MI",45.4595,9.16183,658,"CASA DI CURA IGEA",163,TRUE,4,1
"CASA DI CURA VILLA BARBARANO  (STAB DEL PRESIDIO VG)-POLIAMBULATORIO-1-AMBULATORIO PRINCIPALE-1 (CASA DI CURA VILLA BARBARANO)","ATS DI BRESCIA","ASST DEL GARDA","SALO'","BS",45.61316,10.55336,3333,"CASA DI CURA VILLA BARBARANO",172,TRUE,2,1
"PRESIDIO OSP. CENTRO TRAUMATOLOGICO ORTOPEDICO","ATS DELLA CITTA' METROPOLITANA DI MILANO","ASST FATEBENEFRATELLI SACCO","MILANO","MI",45.5257312,9.2138966,3616,"CENTRO TRAUMATOLOGICO ORTOPEDICO",178,TRUE,2,1
"CASA DI CURA FONDAZIONE GAETANO E PIERA BORGHI-POLIAMBULATORIO-1-AMBULATORIO PRINCIPALE-1 (CASA DI CURA FONDAZIONE GAETANO E PIERA BORGHI SRL)","ATS DELL'INSUBRIA","ASST DEI SETTE LAGHI","BREBBIA","VA",45.832973,8.6586922,3117,"CASA DI CURA FONDAZIONE GAETANO E PIERA BORGHI",181,TRUE,2,1
